question,answerRegex,expectedDisplay
"How do you perform an INNER JOIN between 'users' and 'orders' on id columns?","(?i).*select.*from.*users.*join.*orders.*on.*users.*id.*=.*orders.*user_id.*","SELECT * FROM users JOIN orders ON users.id = orders.user_id"
"How do you perform a LEFT JOIN between 'customers' and 'orders'?","(?i).*select.*from.*customers.*left.*join.*orders.*on.*","SELECT * FROM customers LEFT JOIN orders ON customers.id = orders.customer_id"
"How do you perform a RIGHT JOIN between 'orders' and 'products'?","(?i).*select.*from.*orders.*right.*join.*products.*on.*","SELECT * FROM orders RIGHT JOIN products ON orders.product_id = products.id"
"How do you perform a FULL OUTER JOIN between 'a' and 'b'?","(?i).*select.*from.*a.*full.*outer.*join.*b.*on.*","SELECT * FROM a FULL OUTER JOIN b ON a.id = b.id"
"How do you combine results of two SELECT queries removing duplicates?","(?i).*select.*from.*.+union.*select.*","SELECT * FROM table1 UNION SELECT * FROM table2"
"How do you combine results keeping duplicates?","(?i).*select.*from.*.+union.*all.*select.*","SELECT * FROM table1 UNION ALL SELECT * FROM table2"
"How do you get only rows appearing in both queries?","(?i).*select.*from.*.+intersect.*select.*","SELECT * FROM table1 INTERSECT SELECT * FROM table2"
"How do you get rows in first query but not in second?","(?i).*select.*from.*.+except.*select.*","SELECT * FROM table1 EXCEPT SELECT * FROM table2"
"How do you select users whose id exists in another table 'orders'?","(?i).*select.*from.*users.*where.*id.*in.*\\(.*select.*user_id.*from.*orders.*","SELECT * FROM users WHERE id IN (SELECT user_id FROM orders)"
"How do you use CASE WHEN to label users by age group?","(?i).*select.*case.*when.*age.*>.*18.*then.*'.*'.*else.*'.*'.*end.*","SELECT CASE WHEN age > 18 THEN 'Adult' ELSE 'Minor' END FROM users"
"How do you replace null 'email' values with 'N/A'?","(?i).*select.*coalesce.*\\(.*email.*'.*N/A.*'\\).*","SELECT COALESCE(email, 'N/A') FROM users"
"How do you create a view 'active_users' selecting users with active=true?","(?i).*create.*view.*active_users.*as.*select.*from.*users.*where.*active.*=.*true.*","CREATE VIEW active_users AS SELECT * FROM users WHERE active = true"
"How do you begin a transaction block?","(?i).*begin.*","BEGIN"
"How do you commit a transaction?","(?i).*commit.*","COMMIT"
"How do you rollback a transaction?","(?i).*rollback.*","ROLLBACK"
"How do you create a sequence 'order_id_seq'?","(?i).*create.*sequence.*order_id_seq.*","CREATE SEQUENCE order_id_seq"
"How do you select JSON key 'name' from a JSON column 'data'?","(?i).*select.*data.*->>.*'name'.*","SELECT data->>'name' FROM table"
"How do you calculate row rank by score (rank() window)?","(?i).*select.*rank.*\\(\\).*over.*\\(.*order.*by.*score.*desc.*\\).*","SELECT RANK() OVER (ORDER BY score DESC) FROM table"

